Throughput,Machine,Status,Employee,default,Downtime01,Status,Status,Status,Manpower,month,Downtime01,R.hours,pdays,previous,poutcome,deposit
43092,TOM16,Idling,secondary,no,223,Idling,Idling,Idling,5,may,223,300,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,324,Downtime,Downtime,Downtime,7,may,324,4546,-1,0,unknown,yes
12456,CJM,Running,secondary,no,34,Running,Running,Running,7,may,34,34,-1,0,unknown,yes
29084,CEIC,Idling,tertiary,no,45,Idling,Idling,Idling,7,may,45,232,-1,0,unknown,yes
2134,JYS,Downtime,tertiary,no,23,Downtime,Downtime,Downtime,7,may,23,45,-1,0,unknown,yes
35123,XT14,Idling,tertiary,no,46,Idling,Idling,Idling,8,may,46,656,-1,0,unknown,yes
22384,XT10,Downtime,tertiary,no,65,Downtime,Downtime,Downtime,8,may,65,4546,-1,0,unknown,yes
43092,TOM16,Idling,primary,no,7,Idling,Idling,Idling,8,may,7,34,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,23,Downtime,Downtime,Downtime,8,may,23,45,-1,0,unknown,yes
12456,CJM,Idling,secondary,no,21,Idling,Idling,Idling,8,may,21,656,-1,0,unknown,yes
29084,CEIC,Downtime,secondary,no,324,Downtime,Downtime,Downtime,8,may,324,4546,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,230,Downtime,Downtime,Downtime,5,may,230,300,-1,0,unknown,yes
22384,XT10,Running,secondary,no,30,Running,Running,Running,5,may,30,210,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,223,Idling,Idling,Idling,5,may,223,300,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,230,Downtime,Downtime,Downtime,5,may,230,300,-1,0,unknown,yes
22384,XT10,Running,secondary,no,30,Running,Running,Running,5,may,30,210,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,223,Idling,Idling,Idling,5,may,223,300,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,324,Downtime,Downtime,Downtime,7,may,324,4546,-1,0,unknown,yes
12456,CJM,Running,secondary,no,34,Running,Running,Running,7,may,34,34,-1,0,unknown,yes
29084,CEIC,Idling,tertiary,no,45,Idling,Idling,Idling,7,may,45,232,-1,0,unknown,yes
2134,JYS,Downtime,tertiary,no,23,Downtime,Downtime,Downtime,7,may,23,45,-1,0,unknown,yes
35123,XT14,Idling,tertiary,no,46,Idling,Idling,Idling,8,may,46,656,-1,0,unknown,yes
22384,XT10,Downtime,tertiary,no,65,Downtime,Downtime,Downtime,8,may,65,4546,-1,0,unknown,yes
43092,TOM16,Idling,primary,no,7,Idling,Idling,Idling,8,may,7,34,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,23,Downtime,Downtime,Downtime,8,may,23,45,-1,0,unknown,yes
12456,CJM,Idling,secondary,no,21,Idling,Idling,Idling,8,may,21,656,-1,0,unknown,yes
29084,CEIC,Downtime,secondary,no,324,Downtime,Downtime,Downtime,8,may,324,4546,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,230,Downtime,Downtime,Downtime,5,may,230,300,-1,0,unknown,yes
22384,XT10,Running,secondary,no,30,Running,Running,Running,5,may,30,210,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,223,Idling,Idling,Idling,5,may,223,300,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,324,Downtime,Downtime,Downtime,7,may,324,4546,-1,0,unknown,yes
12456,CJM,Running,secondary,no,34,Running,Running,Running,7,may,34,34,-1,0,unknown,yes
29084,CEIC,Idling,tertiary,no,45,Idling,Idling,Idling,7,may,45,232,-1,0,unknown,yes
2134,JYS,Downtime,tertiary,no,23,Downtime,Downtime,Downtime,7,may,23,45,-1,0,unknown,yes
35123,XT14,Idling,tertiary,no,46,Idling,Idling,Idling,8,may,46,656,-1,0,unknown,yes
22384,XT10,Downtime,tertiary,no,65,Downtime,Downtime,Downtime,8,may,65,4546,-1,0,unknown,yes
43092,TOM16,Idling,primary,no,7,Idling,Idling,Idling,8,may,7,34,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,23,Downtime,Downtime,Downtime,8,may,23,45,-1,0,unknown,yes
12456,CJM,Idling,secondary,no,21,Idling,Idling,Idling,8,may,21,656,-1,0,unknown,yes
29084,CEIC,Downtime,secondary,no,324,Downtime,Downtime,Downtime,8,may,324,4546,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,324,Downtime,Downtime,Downtime,7,may,324,4546,-1,0,unknown,yes
12456,CJM,Running,secondary,no,34,Running,Running,Running,7,may,34,34,-1,0,unknown,yes
29084,CEIC,Idling,tertiary,no,45,Idling,Idling,Idling,7,may,45,232,-1,0,unknown,yes
2134,JYS,Downtime,tertiary,no,23,Downtime,Downtime,Downtime,7,may,23,45,-1,0,unknown,yes
35123,XT14,Idling,tertiary,no,46,Idling,Idling,Idling,8,may,46,656,-1,0,unknown,yes
22384,XT10,Downtime,tertiary,no,65,Downtime,Downtime,Downtime,8,may,65,4546,-1,0,unknown,yes
43092,TOM16,Idling,primary,no,7,Idling,Idling,Idling,8,may,7,34,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,23,Downtime,Downtime,Downtime,8,may,23,45,-1,0,unknown,yes
12456,CJM,Idling,secondary,no,21,Idling,Idling,Idling,8,may,21,656,-1,0,unknown,yes
29084,CEIC,Downtime,secondary,no,324,Downtime,Downtime,Downtime,8,may,324,4546,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,230,Downtime,Downtime,Downtime,5,may,230,300,-1,0,unknown,yes
22384,XT10,Running,secondary,no,30,Running,Running,Running,5,may,30,210,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,223,Idling,Idling,Idling,5,may,223,300,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,324,Downtime,Downtime,Downtime,7,may,324,4546,-1,0,unknown,yes
12456,CJM,Running,secondary,no,34,Running,Running,Running,7,may,34,34,-1,0,unknown,yes
29084,CEIC,Idling,tertiary,no,45,Idling,Idling,Idling,7,may,45,232,-1,0,unknown,yes
2134,JYS,Downtime,tertiary,no,23,Downtime,Downtime,Downtime,7,may,23,45,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,324,Downtime,Downtime,Downtime,7,may,324,4546,-1,0,unknown,yes
12456,CJM,Running,secondary,no,34,Running,Running,Running,7,may,34,34,-1,0,unknown,yes
29084,CEIC,Idling,tertiary,no,45,Idling,Idling,Idling,7,may,45,232,-1,0,unknown,yes
2134,JYS,Downtime,tertiary,no,23,Downtime,Downtime,Downtime,7,may,23,45,-1,0,unknown,yes
35123,XT14,Idling,tertiary,no,46,Idling,Idling,Idling,8,may,46,656,-1,0,unknown,yes
22384,XT10,Downtime,tertiary,no,65,Downtime,Downtime,Downtime,8,may,65,4546,-1,0,unknown,yes
43092,TOM16,Idling,primary,no,7,Idling,Idling,Idling,8,may,7,34,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,23,Downtime,Downtime,Downtime,8,may,23,45,-1,0,unknown,yes
12456,CJM,Idling,secondary,no,21,Idling,Idling,Idling,8,may,21,656,-1,0,unknown,yes
29084,CEIC,Downtime,secondary,no,324,Downtime,Downtime,Downtime,8,may,324,4546,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,230,Downtime,Downtime,Downtime,5,may,230,300,-1,0,unknown,yes
22384,XT10,Running,secondary,no,30,Running,Running,Running,5,may,30,210,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,223,Idling,Idling,Idling,5,may,223,300,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,324,Downtime,Downtime,Downtime,7,may,324,4546,-1,0,unknown,yes
12456,CJM,Running,secondary,no,34,Running,Running,Running,7,may,34,34,-1,0,unknown,yes
29084,CEIC,Idling,tertiary,no,45,Idling,Idling,Idling,7,may,45,232,-1,0,unknown,yes
2134,JYS,Downtime,tertiary,no,23,Downtime,Downtime,Downtime,7,may,23,45,-1,0,unknown,yes
35123,XT14,Idling,tertiary,no,46,Idling,Idling,Idling,8,may,46,656,-1,0,unknown,yes
22384,XT10,Downtime,tertiary,no,65,Downtime,Downtime,Downtime,8,may,65,4546,-1,0,unknown,yes
43092,TOM16,Idling,primary,no,7,Idling,Idling,Idling,8,may,7,34,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,23,Downtime,Downtime,Downtime,8,may,23,45,-1,0,unknown,yes
12456,CJM,Idling,secondary,no,21,Idling,Idling,Idling,8,may,21,656,-1,0,unknown,yes
29084,CEIC,Downtime,secondary,no,324,Downtime,Downtime,Downtime,8,may,324,4546,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,324,Downtime,Downtime,Downtime,7,may,324,4546,-1,0,unknown,yes
12456,CJM,Running,secondary,no,34,Running,Running,Running,7,may,34,34,-1,0,unknown,yes
29084,CEIC,Idling,tertiary,no,45,Idling,Idling,Idling,7,may,45,232,-1,0,unknown,yes
2134,JYS,Downtime,tertiary,no,23,Downtime,Downtime,Downtime,7,may,23,45,-1,0,unknown,yes
35123,XT14,Idling,tertiary,no,46,Idling,Idling,Idling,8,may,46,656,-1,0,unknown,yes
22384,XT10,Downtime,tertiary,no,65,Downtime,Downtime,Downtime,8,may,65,4546,-1,0,unknown,yes
43092,TOM16,Idling,primary,no,7,Idling,Idling,Idling,8,may,7,34,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,23,Downtime,Downtime,Downtime,8,may,23,45,-1,0,unknown,yes
12456,CJM,Idling,secondary,no,21,Idling,Idling,Idling,8,may,21,656,-1,0,unknown,yes
29084,CEIC,Downtime,secondary,no,324,Downtime,Downtime,Downtime,8,may,324,4546,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,230,Downtime,Downtime,Downtime,5,may,230,300,-1,0,unknown,yes
22384,XT10,Running,secondary,no,30,Running,Running,Running,5,may,30,210,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,223,Idling,Idling,Idling,5,may,223,300,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,324,Downtime,Downtime,Downtime,7,may,324,4546,-1,0,unknown,yes
12456,CJM,Running,secondary,no,34,Running,Running,Running,7,may,34,34,-1,0,unknown,yes
29084,CEIC,Idling,tertiary,no,45,Idling,Idling,Idling,7,may,45,232,-1,0,unknown,yes
2134,JYS,Downtime,tertiary,no,23,Downtime,Downtime,Downtime,7,may,23,45,-1,0,unknown,yes
35123,XT14,Idling,tertiary,no,46,Idling,Idling,Idling,8,may,46,656,-1,0,unknown,yes
22384,XT10,Downtime,tertiary,no,65,Downtime,Downtime,Downtime,8,may,65,4546,-1,0,unknown,yes
43092,TOM16,Idling,primary,no,7,Idling,Idling,Idling,8,may,7,34,-1,0,unknown,yes
8876,SAIDONE,Downtime,secondary,no,23,Downtime,Downtime,Downtime,8,may,23,45,-1,0,unknown,yes
12456,CJM,Idling,secondary,no,21,Idling,Idling,Idling,8,may,21,656,-1,0,unknown,yes
29084,CEIC,Downtime,secondary,no,324,Downtime,Downtime,Downtime,8,may,324,4546,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,230,Downtime,Downtime,Downtime,5,may,230,300,-1,0,unknown,yes
22384,XT10,Running,secondary,no,30,Running,Running,Running,5,may,30,210,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,223,Idling,Idling,Idling,5,may,223,300,-1,0,unknown,yes
8876,SAIDONE,Running,secondary,no,8,Running,Running,Running,5,may,8,24,-1,0,unknown,yes
12456,CJM,Idling,tertiary,no,90,Idling,Idling,Idling,5,may,90,231,-1,0,unknown,yes
29084,CEIC,Running,tertiary,no,15,Running,Running,Running,5,may,15,3445,-1,0,unknown,yes
2134,JYS,Idling,tertiary,no,30,Idling,Idling,Idling,6,may,30,34,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,32,Downtime,Downtime,Downtime,6,may,32,3123,-1,0,unknown,yes
22384,XT10,Running,secondary,no,33,Running,Running,Running,6,may,33,45,-1,0,unknown,yes
43092,TOM16,Idling,secondary,no,12,Idling,Idling,Idling,6,may,12,656,-1,0,unknown,yes
35123,XT14,Downtime,secondary,no,230,Downtime,Downtime,Downtime,5,may,230,300,-1,0,unknown,yes
22384,XT10,Running,secondary,no,30,Running,Running,Running,5,may,30,210,-1,0,unknown,yes
